"Record_ID#","SALARY","ROOKIE","POS","G","PA","AB","H","1B","2B","3B","HR","TB","BB","UBB","IBB","HBP","SF","SH","ROE","RBI","LEADOFF_PA","DP","TP","WP","PB","END_GAME","SO","BK","INTERFERENCE","FC","TOB","OUT","SIT_DP","GIDP","PITCHES","BALLS","STRIKES","FB","GB","LD","POP","Batted Balls","PA_P","PA_C","PA_1B","PA_2B","PA_3B","PA_SS","PA_LF","PA_CF","PA_RF","PA_DH","PA_PH","PA_PR","G_P","G_C","G_1B","G_2B","G_3B","G_SS","G_LF","G_CF","G_RF","G_DH","G_PH","G_PR","AVG","OBP","SLG","D_ISO","TBP","BBr","UBBr","IBBR","SO/BB","ABR","HITR","B1R","B2R","B3R","HRr","HBPR","SFR","SHR","ROEr","SOr","OUTR","NSOR","RBIR","LEADOFFR","END_GAMER","DP%","FB%","GB%","LD%","POP%","SB","CS","PICKOFF","R","SB%","RUNR","D_BPF","PA%","D_MLVr","D_PMLVr","D_RPMLVr","D_VORPr","D_MLV","D_PMLV","D_RPMLV","D_VORP","D_NETDP","D_EqA","D_EqR","D_RAR","D_RAP","D_RARP","D_OUTS_EQ","PA_ROB","R1","R2","R3","R1_BI","R2_BI","R3_BI","ROB","OBI","R1BI%","R2BI%","R3BI%","OBI%"
63,410000,0,2,37,98,91,16,9,5,1,1,26,4,4,0,1,0,2,3,9,25,2,0,0,0,2,38,0,0,0,21,74,24,2,414,148,266,13,26,8,8,55,0,92,1,0,0,0,0,0,0,0,5,0,0,31,1,0,0,0,0,0,0,0,5,1,0.18,0.22,0.29,0.11,0.27,0.04,0.04,0,9.5,0.93,0.16,0.09,0.05,0.01,0.01,0.01,0,0.02,0.03,0.39,0.76,0.37,0.09,0.26,0.02,8.3,23.6,47.3,14.5,14.5,0,0,0,6,0,0.06,98.91,1.6,-0.43,-0.37,-0.29,-0.29,-10,-8.7,-6.76,-6.8,-0.6,0.17,4.8,-5,-7.7,-4.2,77,47,37,18,8,2,4,2,63,8,5.4,22.2,25,12.7
71,10000000,0,3,162,700,610,153,75,26,4,48,331,81,64,17,3,6,0,2,146,176,12,0,9,1,3,199,1,0,0,237,461,128,11,2785,1133,1652,151,172,84,10,417,0,0,686,0,0,0,0,0,0,10,4,0,0,0,159,0,0,0,0,0,0,2,4,0,0.25,0.34,0.54,0.29,0.47,0.12,0.09,0.02,2.46,0.87,0.22,0.11,0.04,0.01,0.07,0,0.01,0,0,0.28,0.66,0.37,0.21,0.25,0,8.6,36.2,41.2,20.1,2.4,1,1,1,105,50,0.15,99.97,11.2,0.17,0.07,0.23,0.23,27.2,10.7,37.19,36.9,-2.88,0.29,107,48.1,12.4,33.5,464,351,224,170,89,25,42,31,483,98,11.2,24.7,34.8,20.3
73,2400000,0,4,152,707,627,172,127,30,9,6,238,70,67,3,4,3,3,9,48,284,2,0,3,0,8,131,0,0,3,246,449,91,2,2930,1192,1738,140,242,97,23,502,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0.27,0.35,0.38,0.11,0.34,0.1,0.09,0,1.87,0.89,0.24,0.18,0.04,0.01,0.01,0.01,0,0,0.01,0.19,0.64,0.45,0.07,0.4,0.01,2.2,27.9,48.2,19.3,4.6,8,6,1,91,57.1,0.13,99.38,11.2,-0.01,-0.02,0.1,0.1,-1.6,-3,16.9,15.7,-7.87,0.26,83.3,24.1,2.8,24.1,467,237,157,109,64,9,10,23,330,42,5.7,9.2,35.9,12.7
78,423500,0,2,40,130,118,25,18,5,0,2,36,11,10,1,0,1,0,2,18,25,4,0,2,1,3,24,0,0,0,36,92,28,4,502,190,312,27,39,19,10,95,0,121,0,0,0,0,0,0,0,0,9,0,0,32,0,0,0,0,0,0,0,0,9,0,0.21,0.28,0.31,0.09,0.28,0.08,0.08,0.01,2.18,0.91,0.19,0.14,0.04,0,0.02,0,0.01,0,0.02,0.18,0.71,0.52,0.14,0.19,0.02,14.3,28.4,41.1,20,10.5,0,0,0,8,0,0.06,98.76,2.1,-0.28,-0.22,-0.14,-0.14,-8.3,-6.5,-4.15,-4.2,0.96,0.21,9.2,-2.7,-6.1,-1.9,94,66,46,29,14,3,7,6,89,16,6.5,24.1,42.9,18
82,430000,0,7,148,536,475,122,68,29,2,23,224,53,43,10,5,3,0,8,65,120,10,0,4,1,5,102,2,0,1,180,347,100,7,2074,803,1271,117,150,62,47,376,0,0,0,0,0,0,412,0,0,104,20,0,0,0,0,0,0,0,106,0,0,26,20,0,0.26,0.34,0.47,0.22,0.42,0.1,0.08,0.02,1.92,0.89,0.23,0.13,0.05,0,0.04,0.01,0.01,0,0.01,0.19,0.65,0.46,0.12,0.22,0.01,7,31.1,39.9,16.5,12.5,2,2,0,67,50,0.13,101.49,8.6,0.06,0.02,0.14,0.13,7.9,2.4,17.39,16.8,-3.84,0.28,71.1,25.7,1.4,17.7,358,233,172,98,55,12,16,14,325,42,7,16.3,25.5,12.9
85,417000,0,4,146,619,531,138,68,37,1,32,273,77,71,6,8,3,0,7,92,140,11,0,5,2,7,171,0,0,1,223,388,105,10,2615,1083,1532,139,131,59,34,363,0,0,0,617,0,0,0,0,0,0,2,0,0,0,0,144,0,0,0,0,0,0,2,0,0.26,0.36,0.51,0.25,0.44,0.12,0.11,0.01,2.22,0.86,0.22,0.11,0.06,0,0.05,0.01,0,0,0.01,0.28,0.63,0.35,0.15,0.23,0.01,9.5,38.3,36.1,16.3,9.4,5,5,1,97,50,0.16,99.41,10,0.18,0.17,0.29,0.28,25.4,24.3,41.8,40.3,-1.38,0.3,96.4,45.6,27.1,45.4,401,254,178,122,70,16,22,22,370,60,9,18,31.4,16.2
91,406000,0,8,154,657,606,176,115,38,5,18,278,46,40,6,1,3,1,8,76,178,14,0,5,1,6,153,0,0,3,223,423,134,11,2444,857,1587,149,210,90,9,458,0,0,0,0,0,0,0,412,238,0,7,0,0,0,0,0,0,0,0,101,63,0,7,2,0.29,0.34,0.46,0.17,0.42,0.07,0.06,0.01,3.33,0.92,0.27,0.18,0.06,0.01,0.03,0,0,0,0.01,0.23,0.64,0.41,0.12,0.27,0.01,8.2,32.5,45.9,19.7,2,35,11,5,93,76.1,0.14,98.54,10.6,0.1,0.07,0.19,0.22,15.9,10.8,29.71,33.6,-3.53,0.28,95.5,39,14.2,34.4,445,296,207,133,68,11,25,22,408,58,5.3,18.8,32.4,14.2
101,424500,0,9,140,596,525,160,97,38,5,20,268,59,59,0,4,7,1,3,77,106,7,0,6,0,8,88,0,0,1,223,369,107,6,2480,940,1540,142,187,96,20,445,0,0,0,0,0,0,142,0,446,0,8,0,0,0,0,0,0,0,41,0,109,0,8,0,0.31,0.38,0.51,0.21,0.45,0.1,0.1,0,1.49,0.88,0.27,0.16,0.06,0.01,0.03,0.01,0.01,0,0.01,0.15,0.62,0.47,0.13,0.18,0.01,5.6,31.9,42,21.6,4.5,6,3,0,90,66.7,0.15,98.49,9.6,0.24,0.17,0.3,0.3,34.3,24.2,41.71,41.7,-5.6,0.31,100.8,53.1,28.9,46,376,262,168,128,49,6,27,24,345,57,3.6,21.1,49,16.5
121,406000,0,5,134,571,493,128,76,35,1,16,213,66,61,5,6,5,1,5,59,104,13,0,6,0,8,120,1,0,0,200,366,120,8,2241,881,1360,147,121,77,34,379,0,0,0,0,567,0,0,0,0,4,0,0,0,0,0,0,133,0,0,0,0,1,0,0,0.26,0.35,0.43,0.17,0.37,0.12,0.11,0.01,1.82,0.86,0.22,0.13,0.06,0,0.03,0.01,0.01,0,0.01,0.21,0.64,0.43,0.1,0.18,0.01,6.7,38.8,31.9,20.3,9,9,2,1,72,81.8,0.13,101.52,9.3,0.04,0,0.13,0.14,5.1,0.6,17.46,19,-5.01,0.28,74.6,27.3,6.5,23.5,373,265,180,110,50,13,13,17,340,43,7.2,11.8,34,12.6
122,1750000,0,5,27,80,74,15,14,0,0,1,18,6,6,0,0,0,0,1,4,20,1,0,0,0,2,22,0,0,0,21,58,13,1,327,127,200,15,26,7,4,52,0,0,16,0,58,0,0,0,0,3,3,0,0,0,7,0,21,0,0,0,0,1,3,2,0.2,0.26,0.24,0.04,0.23,0.08,0.08,0,3.67,0.93,0.19,0.18,0,0,0.01,0,0,0,0.01,0.28,0.73,0.45,0.05,0.25,0.03,7.7,28.8,50,13.5,7.7,0,1,0,6,0,0.08,101.32,1.3,-0.4,-0.45,-0.32,-0.35,-7.5,-8.3,-5.93,-6.5,-0.41,0.17,3.7,-3.9,-7.6,-4.8,60,38,28,24,8,0,1,2,60,3,0,4.2,25,5
123,4750000,0,4,149,593,505,144,90,30,3,21,243,69,69,0,9,8,2,7,87,127,11,0,5,1,3,106,1,0,0,222,364,133,9,2311,924,1387,141,173,72,23,409,0,0,0,312,55,0,92,0,129,0,4,0,0,0,1,95,22,1,27,0,38,0,4,0,0.29,0.38,0.48,0.2,0.41,0.12,0.12,0,1.54,0.85,0.24,0.15,0.05,0.01,0.04,0.02,0.01,0,0.01,0.18,0.61,0.44,0.15,0.21,0.01,6.8,34.5,42.3,17.6,5.6,6,0,0,104,100,0.18,101.62,9.3,0.16,0.13,0.25,0.27,22,17.5,34.04,35.8,-5.42,0.3,87.7,40.6,20.8,37.7,371,302,213,138,84,9,22,35,435,66,4.2,15.9,41.7,15.2
125,14726910,0,8,69,238,209,33,21,8,1,3,52,27,27,0,1,1,0,3,14,51,5,0,6,2,5,76,1,0,1,61,173,45,5,1033,406,627,38,64,18,14,134,0,0,0,0,0,0,0,225,0,4,9,0,0,0,0,0,0,0,0,66,0,1,9,1,0.16,0.26,0.25,0.09,0.22,0.11,0.11,0,2.81,0.88,0.14,0.09,0.03,0,0.01,0,0,0,0.01,0.32,0.73,0.41,0.06,0.21,0.02,11.1,28.4,47.8,13.4,10.4,0,1,0,21,0,0.09,98.48,3.8,-0.41,-0.42,-0.3,-0.31,-23.1,-23.4,-16.82,-17.4,0.12,0.18,11.4,-11.1,-20.7,-12.6,178,115,71,47,36,1,2,8,154,11,1.4,4.3,22.2,7.1
127,8000000,0,8,109,401,340,80,39,19,2,20,163,55,52,3,2,3,1,1,55,93,9,0,4,0,3,82,1,0,3,137,260,75,8,1678,701,977,106,97,42,17,262,0,0,0,0,0,0,0,392,0,0,9,0,0,0,0,0,0,0,0,103,0,0,9,0,0.24,0.34,0.48,0.24,0.41,0.14,0.13,0.01,1.49,0.85,0.2,0.1,0.05,0,0.05,0,0.01,0,0,0.2,0.65,0.44,0.14,0.23,0.01,10.7,40.5,37,16,6.5,2,2,0,53,50,0.13,100.13,6.3,0.08,0.07,0.19,0.18,7,6.4,17.35,16.8,-0.13,0.28,54,20.2,6.3,18.4,266,181,131,89,36,10,12,13,256,35,7.6,13.5,36.1,13.7
128,13870949,0,3,147,641,524,187,106,44,0,37,342,104,70,34,5,8,0,1,116,103,20,0,6,0,5,54,1,0,2,296,342,173,16,2458,1117,1341,135,194,105,44,478,0,0,622,1,0,0,0,0,0,14,4,0,0,0,144,1,0,0,0,0,0,3,4,0,0.36,0.46,0.65,0.3,0.53,0.16,0.11,0.05,0.52,0.82,0.29,0.17,0.07,0,0.06,0.01,0.01,0,0,0.08,0.53,0.45,0.18,0.16,0.01,9.2,28.2,40.6,22,9.2,7,3,3,100,70,0.16,98.43,10.1,0.62,0.52,0.68,0.68,90.9,76.1,99.94,100.2,-2.76,0.37,146.9,102.8,76.1,91.9,348,322,235,131,70,26,21,32,436,79,11.1,16,45.7,18.1
129,2000000,0,7,135,387,341,89,54,26,1,8,141,41,40,1,0,5,0,1,47,60,10,0,4,0,5,43,0,0,1,130,255,68,10,1498,616,882,89,126,59,30,304,0,0,0,0,0,0,246,0,81,9,51,0,0,0,0,0,0,0,64,0,22,2,51,0,0.26,0.34,0.41,0.15,0.36,0.11,0.1,0,1.05,0.88,0.23,0.14,0.07,0,0.02,0,0.01,0,0,0.11,0.66,0.55,0.12,0.16,0.01,14.7,29.3,41.4,19.4,9.9,1,2,0,30,33.3,0.08,99.44,6.2,0,-0.03,0.07,0.06,0.2,-3.1,6.55,5.6,2.63,0.27,47.1,14.2,-3.7,8.1,259,169,114,92,32,8,16,15,238,39,7,17.4,46.9,16.4
132,4900000,0,2,105,384,335,86,67,10,0,9,123,42,33,9,1,2,4,4,38,85,12,0,5,0,4,53,0,0,1,129,250,72,11,1367,521,846,47,159,68,15,289,0,382,0,0,0,0,0,0,0,0,2,0,0,109,0,0,0,0,0,0,0,0,3,1,0.26,0.34,0.37,0.11,0.32,0.11,0.09,0.02,1.26,0.87,0.22,0.17,0.03,0,0.02,0,0.01,0.01,0.01,0.14,0.65,0.51,0.1,0.22,0.01,15.3,16.3,55,23.5,5.2,0,0,0,30,0,0.08,98.11,6,-0.05,0.01,0.09,0.09,-4.2,0.6,8.11,8.1,3.19,0.26,42.1,9.8,2.9,14.5,255,175,124,86,37,4,10,15,247,29,3.2,11.6,40.5,11.7
134,3000000,0,5,130,463,425,106,71,19,2,14,171,33,30,3,0,2,3,6,58,98,15,0,8,1,9,54,0,0,0,139,318,91,14,1571,572,999,92,180,53,51,376,0,0,0,0,445,1,0,0,0,0,17,0,0,0,0,0,129,1,0,0,0,0,17,0,0.25,0.3,0.4,0.15,0.37,0.07,0.06,0.01,1.64,0.92,0.23,0.15,0.04,0,0.03,0,0,0.01,0.01,0.12,0.69,0.57,0.13,0.21,0.02,15.4,24.5,47.9,14.1,13.6,0,0,1,43,0,0.09,100.32,7.4,-0.09,-0.11,0.01,0.01,-9.1,-12.1,0.7,0.7,4.13,0.25,48,6.9,-11.2,3.6,324,223,163,100,53,11,13,20,316,44,6.7,13,37.7,13.9
137,1050000,0,4,60,102,96,25,20,3,1,1,33,3,3,0,1,0,2,2,9,32,3,0,1,0,3,8,0,0,0,29,71,22,3,285,81,204,17,54,11,8,90,0,0,0,45,47,3,2,0,0,0,5,0,0,0,0,37,17,4,2,0,0,0,5,17,0.26,0.29,0.34,0.08,0.32,0.03,0.03,0,2.67,0.94,0.25,0.2,0.03,0.01,0.01,0.01,0,0.02,0.02,0.08,0.7,0.62,0.09,0.31,0.03,13.6,18.9,60,12.2,8.9,1,3,2,11,25,0.11,100.23,1.6,-0.18,-0.19,-0.08,-0.14,-4.3,-4.6,-1.83,-3.3,0.61,0.22,8.2,-1.4,-5.3,-1.8,76,47,33,22,13,1,1,6,68,8,3,4.5,46.2,11.8
138,4350000,0,5,109,429,386,110,64,22,1,23,203,32,31,1,8,3,0,2,58,109,12,0,1,0,3,69,2,0,1,150,276,79,9,1548,554,994,106,145,41,28,320,0,0,0,0,301,0,125,0,0,0,3,0,0,0,0,0,82,0,30,0,0,0,3,0,0.29,0.35,0.53,0.24,0.47,0.07,0.07,0,2.16,0.9,0.26,0.15,0.05,0,0.05,0.02,0.01,0,0,0.16,0.64,0.48,0.14,0.25,0.01,11.4,33.1,45.3,12.8,8.8,4,6,0,50,40,0.12,99.01,7.1,0.2,0.16,0.29,0.26,20.9,16.8,29.49,27.1,0.44,0.3,67.6,31.5,15,27.9,285,179,124,85,38,9,10,16,247,35,7.3,11.8,42.1,14.2
146,800000,0,3,67,218,199,64,50,14,0,0,78,17,14,3,2,0,0,0,17,49,8,0,1,1,3,25,0,0,0,83,135,46,6,771,285,486,53,65,47,9,174,0,0,168,0,0,0,0,0,0,39,11,0,0,0,45,0,0,0,0,0,0,13,11,0,0.32,0.38,0.39,0.07,0.36,0.08,0.06,0.01,1.47,0.91,0.29,0.23,0.06,0,0,0.01,0,0,0,0.11,0.62,0.5,0.08,0.22,0.01,13,30.5,37.4,27,5.2,1,0,0,14,100,0.06,102.25,3.4,0.08,0,0.15,0.15,3.8,-0.1,7.22,7.5,1.01,0.27,26.2,9,-1.4,4.8,135,105,83,40,19,1,7,9,142,17,1.2,17.5,47.4,12
147,400000,0,2,24,67,60,5,4,0,0,1,8,5,5,0,0,1,1,1,5,12,3,0,0,0,3,15,1,0,0,10,56,17,2,272,100,172,14,20,8,5,47,0,63,0,0,0,0,0,0,0,0,4,0,0,29,0,0,0,0,0,0,0,0,4,0,0.08,0.15,0.13,0.05,0.12,0.07,0.07,0,3,0.9,0.07,0.06,0,0,0.01,0,0.01,0.01,0.01,0.22,0.84,0.61,0.07,0.18,0.04,11.8,29.8,42.6,17,10.6,0,0,0,4,0,0.06,98.26,1.1,-0.79,-0.73,-0.65,-0.65,-12.1,-11.2,-9.99,-10,0.16,-0.11,-1.1,-8.4,-10.1,-7.5,57,34,29,12,9,0,1,3,50,4,0,8.3,33.3,8
149,12600000,0,7,143,593,557,163,118,27,3,15,241,29,23,6,1,6,0,7,84,129,18,0,5,1,9,77,0,0,0,193,393,118,11,2036,703,1333,136,210,97,44,487,0,0,0,0,0,0,332,0,0,257,4,0,0,0,0,0,0,0,82,0,0,60,4,0,0.29,0.33,0.43,0.14,0.41,0.05,0.04,0.01,2.66,0.94,0.27,0.2,0.05,0.01,0.03,0,0.01,0,0.01,0.13,0.66,0.53,0.14,0.22,0.02,9.3,27.9,43.1,19.9,9,7,4,1,66,63.6,0.11,100.93,9.6,0.03,-0.01,0.11,0.11,3.8,-2,15.33,15,-1.79,0.26,71.1,19.8,-8.4,10,404,258,189,111,69,14,22,33,369,69,7.4,19.8,47.8,18.7
150,5000000,0,4,117,507,442,103,68,20,3,12,165,53,51,2,5,2,5,5,41,148,12,0,0,0,10,65,0,0,1,161,340,86,11,2037,766,1271,118,135,62,69,384,0,0,0,505,0,0,0,0,0,0,2,0,0,0,0,115,0,0,0,0,0,0,2,1,0.23,0.32,0.37,0.14,0.33,0.1,0.1,0,1.23,0.87,0.2,0.13,0.04,0.01,0.02,0.01,0,0.01,0.01,0.13,0.67,0.54,0.08,0.29,0.02,12.8,30.7,35.2,16.1,18,14,2,3,55,87.5,0.11,98.6,8.3,-0.09,-0.1,0.02,0.05,-11,-12,2.54,5.5,1.68,0.26,58.5,14.4,-1.6,14.2,348,210,147,103,38,4,13,12,288,29,2.7,12.6,31.6,10.1
151,16000000,0,3,159,686,598,162,91,32,1,38,310,72,53,19,8,8,0,3,115,128,17,0,3,1,9,124,1,0,0,242,441,140,16,2590,1010,1580,129,205,110,38,482,0,0,673,0,0,0,0,0,0,10,3,0,0,0,154,0,0,0,0,0,0,2,3,0,0.27,0.35,0.52,0.25,0.45,0.11,0.08,0.03,1.72,0.87,0.24,0.13,0.05,0,0.06,0.01,0.01,0,0,0.18,0.64,0.46,0.17,0.19,0.01,11.4,26.8,42.5,22.8,7.9,1,1,0,96,50,0.14,98.21,10.7,0.19,0.09,0.25,0.25,29.7,13.7,39.27,39,0.82,0.3,109.5,53,18.8,39,445,347,237,158,85,18,24,35,480,77,7.6,15.2,41.2,16
156,9400000,0,9,125,477,426,103,73,19,3,8,152,45,43,2,4,2,0,3,46,103,14,0,7,0,4,95,0,0,4,152,318,104,12,1799,741,1058,70,201,44,18,333,0,0,0,0,0,0,154,103,155,57,8,0,0,0,0,0,0,0,37,31,43,13,8,4,0.24,0.32,0.36,0.12,0.32,0.09,0.09,0,2.11,0.89,0.22,0.15,0.04,0.01,0.02,0.01,0,0,0.01,0.2,0.67,0.47,0.1,0.22,0.01,11.5,21,60.4,13.2,5.4,8,3,2,53,72.7,0.11,100.91,7.8,-0.13,-0.17,-0.05,-0.05,-14.2,-19.6,-5.7,-5.1,0.72,0.24,47.7,6.1,-14.4,0.5,328,217,149,85,58,4,15,19,292,38,2.7,17.6,32.8,13
162,5100000,0,5,96,373,335,83,47,18,1,17,154,30,30,0,4,4,0,1,55,88,10,0,2,0,8,45,0,0,0,117,255,79,10,1407,497,910,109,94,41,50,294,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0.25,0.31,0.46,0.21,0.41,0.08,0.08,0,1.5,0.9,0.22,0.13,0.05,0,0.05,0.01,0.01,0,0,0.12,0.68,0.56,0.15,0.24,0.02,12.7,37.1,32,13.9,17,0,3,1,41,0,0.11,102.11,6,0,-0.03,0.09,0.07,0,-3,7.91,6.1,1.44,0.26,45,12.2,-2.2,9.6,259,167,123,80,46,7,12,19,249,38,5.7,15,41.3,15.3
163,416600,0,6,127,494,454,130,101,25,3,1,164,22,21,1,9,4,5,6,37,108,12,0,2,1,4,69,0,0,0,161,327,92,9,1781,615,1166,92,196,84,23,395,0,0,0,0,0,480,0,0,0,12,2,0,0,0,0,0,0,125,0,0,0,3,2,0,0.29,0.33,0.36,0.08,0.33,0.04,0.04,0,3.14,0.92,0.26,0.2,0.05,0.01,0,0.02,0.01,0.01,0.01,0.14,0.66,0.52,0.07,0.22,0.01,9.8,23.3,49.6,21.3,5.8,20,6,4,48,76.9,0.1,99.63,7.8,-0.06,-0.03,0.09,0.11,-7.2,-2.9,10.47,12.9,-0.97,0.26,55.6,12.6,1.7,17.2,339,222,160,102,49,4,17,15,311,36,2.5,16.7,30.6,11.6
164,3350000,0,9,147,607,555,169,106,37,1,25,283,39,37,2,9,4,0,1,97,140,15,0,7,1,5,103,1,0,1,217,388,108,14,2217,774,1443,122,188,114,32,456,0,0,0,0,0,0,192,0,376,32,7,0,0,0,3,0,0,0,46,0,89,8,7,0,0.31,0.36,0.51,0.21,0.47,0.06,0.06,0,2.64,0.91,0.28,0.17,0.06,0,0.04,0.01,0.01,0,0,0.17,0.64,0.47,0.16,0.23,0.01,13,26.8,41.2,25,7,2,1,0,76,66.7,0.13,99.79,9.7,0.21,0.14,0.26,0.26,29.2,19.6,37.24,37.2,2.29,0.3,96.2,46.6,21,38.8,391,276,192,138,71,15,28,29,401,72,7.8,20.3,40.8,18
165,7785714,0,4,159,707,607,177,99,41,4,33,325,64,50,14,27,8,1,5,104,111,12,0,3,2,6,104,2,0,0,268,434,133,9,2769,1076,1693,171,173,116,52,512,0,0,8,699,0,0,0,0,0,0,0,0,0,0,2,159,0,0,0,0,0,0,0,0,0.29,0.38,0.54,0.24,0.46,0.09,0.07,0.02,1.63,0.86,0.25,0.14,0.06,0.01,0.05,0.04,0.01,0,0.01,0.15,0.61,0.47,0.15,0.16,0.01,6.8,33.4,33.8,22.7,10.2,14,2,0,113,87.5,0.16,99.97,11.3,0.26,0.25,0.37,0.39,42.8,41.2,61.27,64.3,-5.42,0.31,118.7,62.8,42.5,62.6,441,338,199,154,91,15,22,34,444,71,7.5,14.3,37.4,16
171,1812500,0,2,123,485,444,135,110,18,0,7,174,32,28,4,1,5,3,2,56,117,22,0,3,0,4,29,1,0,0,168,315,93,21,1630,549,1081,114,199,83,27,423,0,471,5,0,0,0,0,0,0,4,5,0,0,119,2,0,0,0,0,0,0,1,5,0,0.3,0.35,0.39,0.09,0.36,0.07,0.06,0.01,0.91,0.92,0.28,0.23,0.04,0,0.01,0,0.01,0.01,0,0.06,0.65,0.59,0.12,0.24,0.01,22.6,27,47,19.6,6.4,0,2,0,37,0,0.08,98.47,7.6,0.04,0.09,0.17,0.16,3.9,9.8,19.3,18.1,10.92,0.27,58.2,17.7,8.6,23.2,319,218,163,103,48,6,17,26,314,49,3.7,16.5,54.2,15.6
175,412000,0,2,115,465,431,137,88,34,0,15,216,23,19,4,6,5,0,2,69,96,10,0,3,0,8,55,0,0,0,166,297,96,10,1647,623,1024,116,159,84,22,381,0,448,0,0,0,0,0,0,0,5,12,0,0,106,1,0,0,0,0,0,0,1,12,0,0.32,0.36,0.5,0.18,0.46,0.05,0.04,0.01,2.39,0.93,0.29,0.19,0.07,0,0.03,0.01,0.01,0,0,0.12,0.64,0.52,0.15,0.21,0.02,10.4,30.4,41.7,22,5.8,2,2,1,71,50,0.15,99.02,7.4,0.21,0.27,0.35,0.35,23.1,29.1,38.13,37.5,-0.41,0.3,73.4,35.2,26,39.7,301,224,152,98,41,7,25,22,291,54,4.6,25.5,53.7,18.6
179,1450000,0,3,142,573,525,143,100,28,1,14,215,36,31,5,9,3,0,6,74,136,18,0,10,2,3,39,0,0,2,188,377,104,18,1992,740,1252,124,257,76,32,489,0,0,567,0,0,0,0,0,0,0,6,0,0,0,141,0,0,0,0,0,0,0,6,0,0.27,0.33,0.41,0.14,0.38,0.06,0.05,0.01,1.08,0.92,0.25,0.17,0.05,0,0.02,0.02,0.01,0,0.01,0.07,0.66,0.59,0.13,0.24,0.01,17.3,25.4,52.6,15.5,6.5,2,1,0,65,66.7,0.11,100.22,9.2,-0.01,-0.11,0.05,0.05,-1.7,-15.4,6.49,6.5,6.72,0.26,65.4,16.5,-13.2,4.3,386,258,160,125,68,5,24,31,353,60,3.1,19.2,45.6,17
181,1275000,0,10,76,177,154,28,14,5,1,8,59,15,14,1,7,1,0,2,21,40,2,0,3,0,2,46,0,0,1,50,124,30,1,681,253,428,43,37,15,14,109,0,0,0,0,0,0,18,0,53,94,12,0,0,0,0,0,0,0,9,0,21,33,12,7,0.18,0.28,0.38,0.2,0.33,0.08,0.08,0.01,3.07,0.87,0.16,0.08,0.03,0.01,0.05,0.04,0.01,0,0.01,0.26,0.7,0.44,0.12,0.23,0.01,3.3,39.5,33.9,13.8,12.8,8,1,0,23,88.9,0.13,99.18,2.8,-0.18,-0.22,-0.1,-0.06,-7.5,-8.9,-4.18,-2.4,-2.25,0.25,19,2.8,-6.4,-0.6,128,77,55,34,18,3,6,4,107,13,5.5,17.6,22.2,12.2
184,2500000,0,7,133,577,518,159,115,25,7,12,234,46,43,3,5,4,4,2,73,207,14,0,7,2,7,71,0,0,1,210,364,88,10,2225,843,1382,112,216,108,19,455,0,0,0,0,0,0,241,274,58,4,0,0,0,0,0,0,0,0,71,68,23,1,0,0,0.31,0.37,0.45,0.15,0.41,0.08,0.07,0.01,1.54,0.9,0.28,0.2,0.04,0.01,0.02,0.01,0.01,0.01,0,0.12,0.63,0.51,0.13,0.36,0.01,11.4,24.6,47.5,23.7,4.2,11,8,7,70,57.9,0.12,101.54,9.4,0.13,0.09,0.22,0.21,17.7,12.7,29.77,28.3,0.46,0.28,79.9,32.3,10.4,27.4,375,210,132,95,57,6,24,31,284,61,4.5,25.3,54.4,21.5
186,3000000,0,4,159,634,597,162,110,35,3,14,245,26,23,3,5,5,1,5,72,151,21,0,7,1,12,65,0,0,0,193,436,124,18,2124,702,1422,137,259,109,33,538,0,0,0,631,0,0,0,0,0,0,3,0,0,0,0,159,0,0,0,0,0,0,3,1,0.27,0.31,0.41,0.14,0.39,0.04,0.04,0,2.5,0.94,0.26,0.17,0.06,0,0.02,0.01,0.01,0,0.01,0.1,0.69,0.59,0.11,0.24,0.02,14.5,25.5,48.1,20.3,6.1,2,4,2,70,33.3,0.11,101.19,10.1,-0.06,-0.07,0.06,0.04,-8.5,-9.7,8.19,6.4,4.56,0.25,67.4,10.9,-9.3,10.9,445,287,210,139,69,5,22,31,418,58,2.4,15.8,44.9,13.9
187,405000,0,4,105,417,393,114,72,25,6,11,184,17,17,0,2,1,4,4,44,124,11,0,4,1,4,69,0,0,0,133,280,57,9,1497,460,1037,119,95,79,36,329,0,0,0,240,22,144,0,0,4,0,7,0,0,0,0,61,13,36,0,0,1,0,7,3,0.29,0.32,0.47,0.18,0.44,0.04,0.04,0,4.06,0.94,0.27,0.17,0.06,0.01,0.03,0,0,0.01,0.01,0.17,0.67,0.51,0.11,0.3,0.01,15.8,36.2,28.9,24,10.9,13,4,0,47,76.5,0.11,102.81,6.6,0.06,0.07,0.18,0.2,5.4,6.2,17.61,19.1,2.82,0.27,52.9,16.3,4.2,17.3,288,148,92,80,41,5,16,12,213,33,5.4,20,29.3,15.5
