X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
"POP","D_VORP",0.2753,0.082101464,0.029430002,0.26976,5.0,0.43954355
"AB","PICKOFF",0.27524,0.13826832,0.16976,0.26515,5.0,0.37009686
"PA","FC",0.27509,0.16676302,0.16936001,0.26253,5.0,0.32913065
"B2R","D_RPMLVr",0.27504,-0.07494527,0.080369994,0.26999,5.0,0.59159553
"SO","RUNR",0.27502,0.06901623,0.06953001,0.26759,5.0,0.45387638
"Batted Balls","R3BI%",0.2749,0.24190405,0.07450999,0.26681,5.0,0.18164782
"HITR","D_OUTS_EQ",0.2749,0.05398178,0.086109996,0.26438,5.0,0.47001937
"HITR","R",0.27488,0.011421531,0.031790003,0.26716,5.0,0.51328206
"GB","D_VORPr",0.27468,0.04283257,0.04558,0.27028,5.0,0.48150536
"TOB","BBr",0.27467,0.19940221,0.15422001,0.26708,5.0,0.27434975
"IBB","D_RAP",0.27463,-0.04342547,0.08591001,0.26774,5.0,0.56396407
"SF","R3BI%",0.27423,0.19535756,0.10495001,0.26451,5.0,0.28084236
"UBB","D_ISO",0.27422,-0.03946513,0.029339984,0.26921,5.0,0.560076
"D_PMLV","R1BI%",0.27411,0.032236323,0.0589,0.26338,5.0,0.49180654
"CS","R",0.274,0.089141086,0.07902999,0.26893,5.0,0.4299522
"D_VORP","R1BI%",0.27393,0.024597019,0.049239993,0.26744,5.0,0.49933255
"D_NETDP","D_OUTS_EQ",0.27383,0.27305225,0.12433999,0.26518,5.0,0.027887993
"TBP","GB%",0.27375,0.06013386,0.07218,0.26636,5.0,-0.46218628
"END_GAME","D_RARP",0.27374,0.13030124,0.094359994,0.26653,5.0,0.3787331
"BB","SLG",0.27359,-0.09664801,0.034859985,0.27147,5.0,0.6084719
"FB","HRr",0.2735,0.01945275,0.0817,0.26548,5.0,0.504031
"IBB","SO",0.27338,0.07931787,0.07001002,0.26734,5.0,0.44052485
"GB","SB",0.27335,0.034165874,0.056989998,0.26478,5.0,0.48906454
"SHR","ROB",0.27333,0.15129179,0.17731,0.26313,5.0,-0.3493397
"RBIR","D_EqA",0.2733,-0.036028504,0.02274999,0.27307,5.0,0.5561731
"END_GAME","R2_BI",0.27326,0.023700103,0.022919998,0.27034,5.0,0.4995597
"SO","D_RAP",0.27315,0.08115037,0.037750006,0.26573,5.0,0.43817762
"3B","FB",0.27304,0.06493947,0.07174,0.26668,5.0,0.45618036
"CS","R2",0.2728,0.18738604,0.11479999,0.26587,5.0,0.29225668
"1B","HBP",0.27262,0.17926984,0.12642999,0.26473,5.0,0.30553257
"SLG","R3_BI",0.27259,-0.0861125,0.02802001,0.27259,4.70044,0.5989178
"AVG","R2",0.27251,0.011498779,0.060449988,0.26555,5.0,0.51089257
"D_RAP","OBI%",0.27241,0.109081134,0.070140004,0.26435,5.0,0.40413967
"OBP","R1",0.27235,0.033788636,0.08341001,0.2648,5.0,0.48842746
"1B","SLG",0.27232,0.018550038,0.0325,0.26493,5.0,0.50375587
"HBP","R3",0.27191,0.0646473,0.07504001,0.26765,5.0,0.45526114
"PITCHES","PA_PH",0.27173,0.15267164,0.08723001,0.26184,5.0,-0.34504837
"PITCHES","G_PH",0.27173,0.15271299,0.08563,0.26184,5.0,-0.34498844
"SO/BB","D_RARP",0.27171,0.17481375,0.073790014,0.26,5.0,-0.31128165
"PA","OUTR",0.27143,0.013880044,0.04591,0.26542,5.0,-0.5074938
"AB","D_ISO",0.27142,0.01911804,0.037829995,0.26338,5.0,0.5022967
"ROE","R3_BI",0.27122,-0.015754253,0.029320002,0.26921,5.0,0.5356998
"GB%","R1_BI",0.27107,0.110095635,0.08757,0.26319,5.0,-0.40121612
"FB","AVG",0.27101,9.1448426E-4,0.027270004,0.26518,5.0,0.51970714
"SLG","B2R",0.27092,-0.10673016,0.027899995,0.2688,5.0,0.6145325
"D_ISO","OBI%",0.27065,0.04250391,0.059489995,0.2642,5.0,0.4776464
"HBP","GB",0.2704,0.18812615,0.10839999,0.26288,5.0,0.28683415
"OUT","D_NETDP",0.2704,0.26951513,0.111360006,0.26207,5.0,0.029746639
"FB%","R1_BI",0.27033,0.084360614,0.099850014,0.2621,5.0,0.4312417
"TOB","HITR",0.27019,-0.015186846,0.037320003,0.26177,5.0,0.53420675
"RBIR","PA_ROB",0.27007,0.0061855316,0.07093999,0.26296,5.0,0.51369685
"LEADOFF_PA","LEADOFFR",0.27,0.043453768,0.07008001,0.26399,5.0,0.47596875
"OUT","OBP",0.26993,0.09432453,0.09525001,0.26013,5.0,0.41905308
"R1","R3BI%",0.26993,0.2551353,0.08137001,0.25892,5.0,0.12163353
"AB","R3BI%",0.26978,0.2506366,0.10381001,0.26099,5.0,0.13835965
"D_OUTS_EQ","R3BI%",0.26967,0.25412264,0.11906001,0.26298,5.0,0.124689125
"PB","PA_ROB",0.26955,0.16231853,0.18184,0.25863,5.0,0.32746217
"G_PR","D_RAP",0.26951,0.20800927,0.14801,0.26023,5.0,-0.2479934
"SF","POP",0.2695,0.0723993,0.068519995,0.26529,5.0,0.44396022
"2B","ROE",0.26923,-0.009734929,0.042399988,0.26544,5.0,0.5281713
"B1R","GB%",0.26914,0.09798707,0.09516001,0.26107,5.0,0.41370633
"SO","GIDP",0.26911,0.12047508,0.0492,0.26256,5.0,0.385532
"SO","D_MLVr",0.26871,0.011593699,0.03105998,0.26239,5.0,0.50706637
"LEADOFF_PA","D_NETDP",0.2687,0.258672,0.12579,0.25954,5.0,-0.10013985
"SHR","D_MLV",0.2687,0.15270682,0.17351,0.26054,5.0,-0.34057772
"HR","RUNR",0.26847,-0.008533388,0.028860003,0.26633,5.0,0.5263111
"HRr","ROB",0.26823,0.022016734,0.08193,0.25859,5.0,0.4961988
"HR","GIDP",0.26822,0.07752195,0.02474998,0.26631,5.0,0.43668988
"UBB","WP",0.26799,0.07728472,0.06347999,0.26053,5.0,0.43669814
"D_NETDP","PA_ROB",0.26795,0.26510105,0.09688,0.25951,5.0,0.053375512
"R2_BI","R1BI%",0.26777,0.081226006,0.05602999,0.26272,5.0,0.4319074
"2B","RUNR",0.26769,-0.001891166,0.035390005,0.26478,5.0,0.51921207
"TB","D_NETDP",0.26747,0.2669368,0.09273,0.25785,5.0,-0.023091024
"OUTR","R1",0.2674,0.026673108,0.045739993,0.25914,5.0,-0.49063927
"Batted Balls","SB",0.26722,0.08701302,0.056519985,0.25522,5.0,0.42450792
"D_RPMLVr","OBI%",0.26708,0.005751699,0.03779,0.26302,5.0,0.5112028
"R2_BI","R3BI%",0.26706,0.23763911,0.13284001,0.25445,5.0,0.1715252
"RBIR","D_VORPr",0.267,-0.0693292,0.022579983,0.263,5.0,0.57993895
"OBP","PA_ROB",0.26693,0.004531473,0.052970007,0.25968,5.0,0.5122485
"G_PR","D_MLV",0.26691,0.20096205,0.12393999,0.25758,5.0,-0.2568033
"2B","HITR",0.26681,-0.05407086,0.027260005,0.2624,5.0,0.5664635
"BBr","D_RAR",0.2668,0.09648448,0.12667999,0.2584,5.0,0.412693
"G","PA_PH",0.26678,0.25767666,0.11773999,0.2594,5.0,-0.095411405
"G","G_PH",0.26678,0.25766656,0.11790998,0.2594,5.0,-0.09546425
"3B","SB%",0.26675,0.18750416,0.14782001,0.25679,5.0,0.2815064
"G_PR","D_VORP",0.26668,0.18941045,0.13666001,0.25961,5.0,-0.277974
"RBIR","D_PMLVr",0.26646,-0.08112645,0.023400009,0.26255,5.0,0.5895646
"G","R3BI%",0.26645,0.25018215,0.103109986,0.25871,5.0,0.12754539
"SF","D_RAP",0.26643,0.10106552,0.13912,0.25864,5.0,0.4066503
"CS","ROB",0.26643,0.18398264,0.11920999,0.25774,5.0,0.28713647
"D_PMLVr","OBI%",0.26632,0.011158556,0.05397001,0.26304,5.0,0.50513506
"RBI","AVG",0.26597,0.0035897195,0.039239988,0.26135,5.0,0.5122307
"D_ISO","R3",0.26592,-0.038033813,0.029880002,0.25999,5.0,0.5513201
"3B","D_RARP",0.26587,0.111769766,0.06482001,0.25731,5.0,0.39255604
"SALARY","H",0.26583,0.1658425,0.06233999,0.25813,5.0,0.316208
"3B","PA_ROB",0.26576,0.11932163,0.07061,0.25628,5.0,0.38267267
"R1","R1BI%",0.26566,0.099747285,0.079610005,0.25797,5.0,0.40732384
"LEADOFF_PA","PICKOFF",0.26562,0.026039347,0.13483,0.25689,5.0,0.48946977
"IBB","LEADOFF_PA",0.26557,0.11666547,0.07329002,0.25697,5.0,0.3858815
"D_NETDP","R3_BI",0.26548,0.2625043,0.17494002,0.25717,5.0,0.05455004
"OBP","BBr",0.26544,-0.067212045,0.026940003,0.26544,4.9068904,0.57675993
"G","IBB",0.26539,0.04667431,0.045690015,0.26066,5.0,0.4676705
"SF","D_MLV",0.26535,0.07612786,0.12548001,0.25465,5.0,0.43499672
"G","HBP",0.26511,0.11908476,0.10544999,0.25868,5.0,0.38213247
"D_ISO","PA%",0.26502,-0.013126552,0.042500004,0.26322,5.0,0.527396
"BALLS","PICKOFF",0.265,0.15997742,0.17033999,0.2543,5.0,0.32407185
"D_NETDP","D_EqR",0.26478,0.25927007,0.09222999,0.25395,5.0,-0.07422902
"D_ISO","NSOR",0.26463,-0.05932063,0.037680015,0.26306,5.0,-0.5691666
"TOB","D_NETDP",0.26448,0.26386207,0.10194999,0.25674,5.0,-0.024858125
"PA_ROB","R1BI%",0.26447,0.09677644,0.05612001,0.25813,5.0,0.40950406
"3B","D_RAR",0.26444,0.12604952,0.07734001,0.2567,5.0,0.3720087
"WP","D_VORP",0.26431,0.08865829,0.08392,0.25706,5.0,0.41910824
"D_EqA","OBI%",0.26431,0.05719872,0.03719999,0.25837,5.0,0.4550948
"SHR","FB%",0.26402,0.12493877,0.13861999,0.25771,5.0,-0.37293595
"GB","PICKOFF",0.26399,0.07235153,0.11345002,0.25662,5.0,0.43776533
"TBP","OUTR",0.26397,-0.14191312,0.04242,0.26397,4.9068904,-0.63708955
"SO","D_RPMLVr",0.26388,0.034602612,0.018569991,0.25755,5.0,0.4788292
"G_PR","D_RARP",0.26364,0.18230155,0.13348998,0.25449,5.0,-0.28519896
"UBB","GIDP",0.26363,0.10039821,0.028070003,0.25947,5.0,0.40401953
"ROB","R1BI%",0.26335,0.10105778,0.07354,0.25617,5.0,0.4028551
"FB","HITR",0.26328,0.020660684,0.026680008,0.25555,5.0,0.49256402
"OBP","RUNR",0.26324,-0.09544158,0.041420013,0.26221,5.0,0.5989003
"SALARY","LD",0.26312,0.16837677,0.090590015,0.25622,5.0,0.30780387
"IBB","R1_BI",0.26289,-0.12745327,0.04316999,0.26251,5.0,0.6247746
"GB","RUNR",0.26288,0.09784055,0.07834999,0.2547,5.0,0.40625048
"3B","OBI",0.26286,0.14545837,0.073520005,0.25639,5.0,0.3426392
"GB","D_PMLV",0.26279,0.1619969,0.060299993,0.25306,5.0,0.31747928
"3B","R2",0.26275,0.11975196,0.060440004,0.25649,5.0,0.37815082
"SIT_DP","R1BI%",0.26269,0.10960789,0.08021,0.2559,5.0,0.3912571
"ROE","D_VORP",0.26268,0.122001946,0.10469,0.2537,5.0,0.37507072
"HITR","R1",0.26262,0.036039308,0.049170002,0.25431,5.0,0.47600493
"FB","B2R",0.26249,0.04228054,0.09296,0.25368,5.0,0.4692648
"SHR","GB%",0.26222,0.09275183,0.15943,0.25527,5.0,0.4116651
"RUNR","R3",0.26209,0.052113935,0.053629994,0.2556,5.0,0.45823145
"BBr","D_MLV",0.26193,0.098117426,0.13013,0.25344,5.0,0.40473765
"RUNR","R1",0.26173,0.050904542,0.06307998,0.25538,5.0,0.45915732
"HBP","OBI",0.26161,0.09345533,0.100669995,0.25562,5.0,0.41006666
"BALLS","R1BI%",0.26141,0.10412812,0.036349997,0.25386,5.0,0.3965878
"SO/BB","D_RAP",0.26137,0.1640217,0.06522,0.25216,5.0,-0.3120069
"OUT","OUTR",0.26132,0.08792861,0.07171999,0.25401,5.0,-0.4164029
"WP","R1_BI",0.26124,0.013995856,0.030780002,0.25675,5.0,0.49723652
"STRIKES","HRr",0.26085,0.067924246,0.09591001,0.25255,5.0,0.43923315
"OUTR","R2",0.26078,0.01154995,0.054199994,0.26063,5.0,-0.49922946
"OUT","AVG",0.26065,0.02462089,0.071270004,0.25425,5.0,0.48582828
"D_ISO","D_OUTS_EQ",0.26062,0.02280581,0.04676999,0.254,5.0,0.48766196
"END_GAME","D_MLV",0.26056,0.20765941,0.15409,0.2496,5.0,0.2300013
"B2R","R2BI%",0.26036,0.06993957,0.10987,0.25291,5.0,0.4363719
"1B","R3BI%",0.26008,0.21470207,0.065660015,0.25048,5.0,0.21302098
"BB","D_NETDP",0.26006,0.23527718,0.113560006,0.25149,5.0,-0.15742567
"D_ISO","RUNR",0.25993,-0.051477402,0.039059997,0.25867,5.0,0.5580389
"R","R1BI%",0.25982,0.098382905,0.082509995,0.25182,5.0,0.40179238
"SALARY","TB",0.25967,0.13841048,0.023029998,0.25072,5.0,0.34822336
"B2R","D_VORPr",0.25965,-0.072104275,0.08741999,0.2536,5.0,0.57598114
"PITCHES","PICKOFF",0.25963,0.13597488,0.15764,0.25107,5.0,0.35164627
"GB%","D_RPMLV",0.2596,0.16275506,0.059350014,0.24935,5.0,-0.31119922
"LEADOFF_PA","SB",0.25949,-0.09708959,0.04656002,0.25243,5.0,0.5971429
"PA%","R3BI%",0.25948,0.24311197,0.108679995,0.25148,5.0,0.12793761
"TOB","HRr",0.25947,0.042102844,0.10596998,0.25205,5.0,0.4662265
"Batted Balls","D_NETDP",0.25947,0.2511913,0.10218,0.24973,5.0,0.09098742
"SALARY","BALLS",0.2594,0.12348102,0.046720013,0.25026,5.0,0.36867192
"D_NETDP","R2_BI",0.2594,0.256812,0.16826001,0.25155,5.0,0.05087251
"3B","R1",0.25929,0.1261609,0.077240005,0.25243,5.0,0.3648686
"SHR","D_VORP",0.25928,0.16161409,0.16756,0.24865,5.0,-0.31251544
"PICKOFF","D_OUTS_EQ",0.25928,0.120018065,0.14624,0.25068,5.0,0.37317815
"SALARY","PA",0.25927,0.15431994,0.060300007,0.25087,5.0,0.32395998
"BALLS","HRr",0.25902,0.013539091,0.089650005,0.2508,5.0,0.4954603
"FB","D_NETDP",0.25902,0.25894764,0.11442,0.25072,5.0,-0.008506066
"AVG","LD%",0.25901,0.12181404,0.12175998,0.2528,5.0,0.3703997
"AVG","R2BI%",0.25885,0.10707155,0.10942,0.24893,5.0,0.38958755
"D_NETDP","D_RARP",0.25882,0.24428822,0.070379995,0.24813,5.0,-0.120547794
"LEADOFF_PA","AVG",0.25877,0.051178724,0.045699984,0.25189,5.0,0.45562184
"B1R","SOr",0.25873,-0.07923454,0.04164,0.25748,5.0,-0.58134717
"FC","BALLS",0.25856,0.18625702,0.15808001,0.25044,5.0,0.26889214
"D_RPMLV","R2BI%",0.25853,0.16432509,0.026009992,0.24681,5.0,0.30692816
"BALLS","UBBr",0.25852,0.14829627,0.124890015,0.25038,5.0,0.3319996
"FB","R3BI%",0.25787,0.23358494,0.09527999,0.25043,5.0,0.15583661
"D_NETDP","R1",0.2578,0.25268084,0.09715001,0.24815,5.0,0.07154832
"CS","PA%",0.25776,0.084464625,0.077209994,0.2513,5.0,0.4162876
"2B","OBI%",0.25749,0.065914795,0.04459001,0.25162,5.0,0.43769306
"D_VORP","D_NETDP",0.25713,0.24410737,0.09963,0.24742,5.0,-0.11411674
"D_NETDP","OBI",0.25709,0.25624207,0.15467998,0.24903,5.0,0.029119426
"PICKOFF","R",0.25696,0.09264515,0.11828001,0.25144,5.0,0.4053577
"TB","PICKOFF",0.25694,0.1559501,0.13493001,0.24752,5.0,0.31778908
"RBI","D_NETDP",0.25694,0.25663012,0.098830014,0.24889,5.0,-0.017603358
"SO","D_PMLVr",0.25693,0.052815974,0.025700003,0.25136,5.0,0.4517898
"PB","BALLS",0.25679,0.1294217,0.1649,0.24714,5.0,0.35688698
"SIT_DP","D_ISO",0.25671,-0.035045564,0.021520004,0.25462,5.0,0.540144
"D_EqR","R3BI%",0.25648,0.23967248,0.08287001,0.24896,5.0,0.12964387
"HR","FB%",0.25644,-0.0027487576,0.042420015,0.24978,5.0,0.50910586
"HR","END_GAME",0.25637,0.10239074,0.026960015,0.25285,5.0,0.39240193
"D_RAP","R1BI%",0.25635,0.034169376,0.065170005,0.25054,5.0,0.47136042
"RBIR","R2",0.2563,-0.017507195,0.049150005,0.24828,5.0,0.5232659
"LD","LD%",0.25629,0.055797145,0.01354,0.24982,5.0,0.44776428
"HITR","PA_ROB",0.25624,0.02434355,0.056940004,0.24921,5.0,0.4815563
"ROB","OBI%",0.25605,0.107436284,0.029750004,0.24933,5.0,0.38550448
"D_EqR","R1BI%",0.25586,0.028876618,0.042710006,0.25129,5.0,0.47642773
"PA","R3BI%",0.25581,0.23945898,0.067200005,0.24658,5.0,0.12787107
"RBIR","D_RAP",0.25569,0.007512152,0.058320016,0.24922,5.0,0.49817452
"HRr","OBI",0.25556,-0.050902337,0.050060004,0.25227,5.0,0.5535904
"TOB","R3BI%",0.25546,0.23865901,0.08400999,0.24587,5.0,0.12961863
"OUTR","RUNR",0.25546,-0.09879866,0.03930001,0.25489,5.0,-0.5951963
"D_VORPr","OBI%",0.25543,0.0075911433,0.046460003,0.25124,5.0,0.49783418
"POP","GB%",0.25527,0.08776125,0.091350004,0.24649,5.0,-0.40927833
"BALLS","HITR",0.25514,0.107404634,0.08746001,0.24517,5.0,0.3843636
"GB","TBP",0.2551,0.0688366,0.060279995,0.24844,5.0,0.43158245
"BBr","D_RAP",0.25498,0.07784267,0.13548,0.24792,5.0,0.42087686
"B2R","D_PMLVr",0.25496,-0.09700328,0.059809998,0.25078,5.0,0.59326494
"PA","HITR",0.2548,0.0054959506,0.04423,0.2474,5.0,0.49930355
"AB","D_NETDP",0.25479,0.25344622,0.091,0.24705,5.0,0.03665781
"SIT_DP","AVG",0.25477,-0.033664227,0.034109995,0.24977,5.0,0.53706074
"ROB","R2BI%",0.25476,0.2011458,0.06129001,0.24745,5.0,0.23154739
"BBr","OUTR",0.25438,-0.04801467,0.029699996,0.25384,5.0,-0.5499042
"PA","PB",0.25419,0.14814642,0.17651,0.24431,5.0,0.32564333
"CS","PICKOFF",0.25414,-0.18020487,0.029319987,0.25414,4.5849624,0.65904844
"HRr","R2",0.25409,0.009282082,0.06940001,0.24622,5.0,0.4947807
"R2","R1BI%",0.25367,0.09440006,0.056399986,0.24767,5.0,0.3990864
"AB","B2R",0.25335,0.09283358,0.12489998,0.24532,5.0,0.400645
"G","AVG",0.25334,0.014046907,0.056090012,0.24648,5.0,0.48917595
"BALLS","CS",0.25328,0.12455842,0.09122002,0.24535,5.0,0.3587779
"G_PR","D_RPMLVr",0.2532,0.1752177,0.11345999,0.24625,5.0,-0.2792531
"LD","OUTR",0.25315,0.010261431,0.038790002,0.25315,4.807355,-0.49283725
"TOB","SO/BB",0.25309,0.1591613,0.034800008,0.24587,5.0,-0.3064779
"FC","ROB",0.25302,0.13723692,0.13750999,0.24359,5.0,0.34026912
"END_GAME","D_RAP",0.25297,0.2012339,0.15748,0.24422,5.0,0.22745575
"BBr","D_EqR",0.25294,0.16982388,0.14989999,0.24199,5.0,0.28829867
"GB","R3BI%",0.25285,0.2186889,0.07932,0.24409,5.0,0.1848272
"END_GAME","END_GAMER",0.25273,0.096055254,0.06913002,0.25273,4.9068904,0.39582163
"H","D_NETDP",0.25267,0.25080982,0.115219995,0.24526,5.0,0.043129556
"D_VORPr","R1BI%",0.25262,0.0068359226,0.060949996,0.24684,5.0,0.49576616
"OBP","R2",0.25252,4.916191E-4,0.044589996,0.2457,5.0,0.5020243
"B2R","D_RAP",0.25237,0.086568594,0.09916,0.24453,5.0,0.4071872
"2B","IBB",0.25236,0.029453412,0.034399986,0.2506,5.0,0.47212982
"SF","D_PMLV",0.25227,0.113074526,0.13664001,0.24356,5.0,0.3730891
"OBP","UBBr",0.25215,-0.02278322,0.026240006,0.25215,4.9068904,0.52434075
"GB","D_NETDP",0.25212,0.22066888,0.111389995,0.24468,5.0,0.17734462
"SB","D_OUTS_EQ",0.25203,0.08308588,0.06854999,0.24418,5.0,0.41102812
"PITCHES","BBr",0.2517,0.18873566,0.15187001,0.24244,5.0,0.25092697
"SIT_DP","D_NETDP",0.25154,0.24441923,0.09645,0.24413,5.0,0.0843847
"TB","PA_PH",0.25125,0.124139726,0.072280005,0.24471,5.0,-0.35652527
"TB","G_PH",0.25125,0.124212265,0.0703,0.24471,5.0,-0.35642353
"GB","D_RPMLVr",0.25111,0.032232165,0.031210005,0.24574,5.0,0.4678438
"AB","HRr",0.25103,0.086876884,0.08639,0.24246,5.0,0.40515813
"1B","D_NETDP",0.25097,0.23845841,0.122600004,0.24185,5.0,0.111855224
"FB","FB%",0.25093,0.025091603,0.030310005,0.24393,5.0,0.47522458
"PA_LF","PA_CF",0.25093,0.24805833,0.05623001,0.24586,5.0,-0.053588036
"CS","PA_ROB",0.25085,0.1612729,0.10555999,0.24482,5.0,0.29929432
"LEADOFF_PA","D_ISO",0.2507,0.08999428,0.036459997,0.24362,5.0,0.40088117
"OUTR","OBI",0.25064,-0.01846224,0.031220004,0.24604,5.0,-0.51875067
"HITR","R3BI%",0.25021,0.15750508,0.13797998,0.24068,5.0,0.3044748
"STRIKES","B2R",0.25009,0.09942418,0.12692,0.24175,5.0,0.38815695
"SALARY","PITCHES",0.24999,0.13782075,0.0316,0.24021,5.0,0.33491677
"SO","D_PMLV",0.24995,0.11014372,0.034950003,0.24161,5.0,0.3739068
"PA","B2R",0.24994,0.09492728,0.12661,0.2423,5.0,0.39371654
"PA_PH","R1",0.24991,0.12695438,0.05935,0.24071,5.0,-0.35065028
"G_PH","R1",0.24991,0.12709433,0.057329997,0.24071,5.0,-0.35045066
"PA","SB",0.24984,0.08466323,0.06061001,0.24118,5.0,0.40641946
"GB","B1R",0.24971,0.11815712,0.1011,0.24231,5.0,0.3627022
"3B","SB",0.2497,-0.044314817,0.033449993,0.24762,5.0,0.5422313
"Batted Balls","PICKOFF",0.24968,0.10374841,0.14504999,0.24223,5.0,0.38200992
"PA","D_NETDP",0.24954,0.24944632,0.07692,0.24071,5.0,0.009678812
"3B","D_VORP",0.24952,0.10725199,0.06474,0.24099,5.0,0.37718433
"Batted Balls","B2R",0.24929,0.09169659,0.12137,0.24248,5.0,0.39698038
"SO/BB","D_RAR",0.2492,0.14859235,0.0334,0.24121,5.0,-0.31718707
"STRIKES","D_NETDP",0.24917,0.2483104,0.104540005,0.24078,5.0,-0.029318908
"RBI","CS",0.249,0.21248037,0.13114,0.24297,5.0,0.19110109
"3B","RBI",0.24878,0.14928554,0.06549999,0.24365,5.0,0.31542742
"PITCHES","D_NETDP",0.24873,0.24599136,0.04999,0.24123,5.0,-0.052332062
"Batted Balls","OUTR",0.24871,0.041740313,0.030060008,0.24065,5.0,-0.45493922
"PA_PH","PA_ROB",0.24871,0.12142989,0.045640007,0.23914,5.0,-0.3567634
"G_PH","PA_ROB",0.24871,0.12156412,0.04335001,0.23914,5.0,-0.35657522
"ROE","POP",0.24867,0.055139914,0.067499995,0.24631,5.0,0.43992054
"SALARY","PA%",0.24858,0.14417326,0.08615999,0.23983,5.0,0.3231203
"BALLS","SO/BB",0.24856,0.14640751,0.033990003,0.24043,5.0,-0.319613
"FB","OBI%",0.24855,0.059852988,0.031380013,0.24239,5.0,0.4343927
"D_PMLV","R2BI%",0.24838,0.16119376,0.07037,0.23933,5.0,0.29527315
"FC","PA%",0.24835,0.13828373,0.14429998,0.24323,5.0,0.33176237
"BB","NSOR",0.24823,0.011623219,0.032629997,0.24279,5.0,-0.48642242
"PA%","D_NETDP",0.24816,0.24803457,0.09346001,0.23933,5.0,0.0111996485
"LEADOFF_PA","OUTR",0.248,0.06805238,0.03162001,0.24317,5.0,-0.42420232
"SB","D_EqR",0.24774,0.09785454,0.0678,0.23798,5.0,0.38715044
"B2R","OBI%",0.24764,0.046335116,0.07794,0.24216,5.0,0.44867012
"UBBr","NSOR",0.24761,-0.053948432,0.031900004,0.24613,5.0,-0.5491434
"ROE","R2_BI",0.24743,0.065253705,0.056040004,0.24287,5.0,0.42682114
"HITR","OBI%",0.24742,0.04424481,0.11546999,0.23892,5.0,0.45074958
"BALLS","D_NETDP",0.24736,0.2401491,0.048290014,0.23672,5.0,-0.08491711
"RBIR","R3",0.24736,-0.026557997,0.03714001,0.24172,5.0,0.52337176
"OUT","SB",0.24728,0.0910345,0.062309995,0.2403,5.0,0.39527902
"PITCHES","R1BI%",0.24727,0.10697608,0.055520013,0.24118,5.0,0.3745583
"3B","D_RPMLV",0.2472,0.12640183,0.08631,0.23848,5.0,0.34756032
"STRIKES","SB",0.24719,0.0766647,0.041719988,0.2386,5.0,0.4129471
"SIT_DP","HITR",0.24707,0.0016691685,0.03475,0.24037,5.0,0.49537948
"PA_PH","ROB",0.24702,0.123424925,0.041200012,0.24061,5.0,-0.35156092
"G_PH","ROB",0.24702,0.1235426,0.03835,0.24061,5.0,-0.35139352
"GB","D_PMLVr",0.24698,0.048317328,0.022759989,0.23858,5.0,0.4457159
"SF","R1_BI",0.24697,-0.052717358,0.031120002,0.24569,5.0,0.5474371
"SALARY","FB",0.24685,0.16569754,0.06827,0.23924,5.0,0.28487268
"SALARY","STRIKES",0.24681,0.1531955,0.048299998,0.23956,5.0,0.30596486
"LD","RUNR",0.2468,0.041071475,0.06898001,0.24152,5.0,0.45357308
"PA_CF","G_LF",0.24678,0.24516636,0.050789997,0.24171,5.0,-0.04016995
"TB","R3BI%",0.24674,0.22799449,0.037159994,0.23721,5.0,0.13691427
"PA","HRr",0.24663,0.06033373,0.089379996,0.23857,5.0,0.4316205
"PITCHES","SHR",0.24646,0.13629673,0.15593001,0.23651,5.0,-0.33190852
"SIT_DP","B2R",0.24641,0.071756616,0.10516,0.24043,5.0,0.41791552
"HRr","OBI%",0.24616,0.09319693,0.12206,0.24165,5.0,0.39110494
"Batted Balls","OBP",0.24615,0.041357085,0.063370004,0.23843,5.0,0.45254052
"GB","SLG",0.24614,0.08509125,0.05973001,0.23749,5.0,0.4013088
"D_VORPr","D_NETDP",0.24614,0.24066186,0.11685,0.23337,5.0,-0.074014485
"WP","D_PMLV",0.24612,0.15354937,0.11553,0.23967,5.0,0.30425423
"3B","D_NETDP",0.24607,0.21660635,0.15147,0.2361,5.0,-0.1716498
"SO/BB","D_VORP",0.24605,0.15501547,0.062330008,0.23554,5.0,-0.3017193
"G_PR","D_RAR",0.24593,0.16868705,0.12561,0.23562,5.0,-0.27792618
"END_GAMER","D_RARP",0.24588,0.18459615,0.13397999,0.2364,5.0,-0.24755572
"SALARY","TOB",0.24585,0.11032592,0.029229999,0.23765,5.0,0.36813596
"D_NETDP","R3",0.24583,0.24320969,0.102510005,0.23773,5.0,0.05118894
"UBB","D_NETDP",0.24562,0.21915103,0.11173999,0.23705,5.0,-0.16269284
"1B","OUTR",0.24551,-0.009014323,0.04536,0.24551,4.807355,-0.504504
"TOB","PA_PH",0.24531,0.119554326,0.05455999,0.23514,5.0,-0.35462046
"TOB","G_PH",0.24531,0.11964281,0.052849993,0.23514,5.0,-0.35449567
"AVG","PA%",0.24524,-0.04132238,0.023880005,0.24042,5.0,0.5353152
"BK","BALLS",0.24523,0.19648927,0.18669,0.23443,5.0,0.22077301
"D_EqA","R3_BI",0.2452,-0.03367226,0.02854,0.241,5.0,0.52808356
"ABR","NSOR",0.24504,-0.0069873035,0.041049987,0.24274,5.0,0.5020232
"IBB","GB",0.24502,0.12067785,0.062289998,0.23659,5.0,0.35262182
"R","D_NETDP",0.24493,0.23631452,0.08527,0.23495,5.0,-0.09281957
